Year,Cause,Deaths,Death_rate,Ranking
2000,Stroke,44109,93,1
2000,Ischaemic heart disease,18837,39,2
2000,Stomach cancer,13205,27,3
2000,"Trachea, bronchus, lung cancers",12879,27,4
2000,Road injury,12141,25,5
2000,Liver cancer,10893,22,6
2000,Diabetes mellitus,10414,21,7
2000,Cirrhosis of the liver,9968,21,8
2000,Self-harm,6860,14,9
2000,Chronic obstructive pulmonary disease,6783,14,10
2010,Stroke,31934,64,1
2010,Ischaemic heart disease,23696,47,2
2010,"Trachea, bronchus, lung cancers",17121,34,3
2010,Self-harm,16852,34,4
2010,Liver cancer,12204,24,5
2010,Stomach cancer,11507,23,6
2010,Diabetes mellitus,9225,18,7
2010,Lower respiratory infections,9013,18,8
2010,Colon and rectum cancers,8886,17,9
2010,Chronic obstructive pulmonary disease,7904,15,10
2015,Stroke,28655,56,1
2015,Ischaemic heart disease,27336,53,2
2015,"Trachea, bronchus, lung cancers",18806,37,3
2015,Lower respiratory infections,17164,33,4
2015,Self-harm,14255,28,5
2015,Liver cancer,12217,24,6
2015,Alzheimer disease and other dementias,11164,21,7
2015,Stomach cancer,9534,18,8
2015,Colon and rectum cancers,9405,18,9
2015,Kidney diseases,9188,18,10
2019,Ischaemic heart disease,28042,54,1
2019,Lower respiratory infections,26649,52,2
2019,Stroke,25596,49,3
2019,"Trachea, bronchus, lung cancers",20293,39,4
2019,Self-harm,14635,28,5
2019,Alzheimer disease and other dementias,12144,23,6
2019,Liver cancer,11589,22,7
2019,Colon and rectum cancers,10180,19,8
2019,Kidney diseases,10107,19,9
2019,Stomach cancer,8624,16,10
