Code,Cause,ISO3,Year,Sex,Age Group,Population,Deaths,Death rate per 100 000 population,DALY,DALY rate per 100 000 population
1140,Stroke,KOR,2000,BTSX,ALLAges,47400000,44109.13,93.06,1021676,2155.43
1130,Ischaemic heart disease,KOR,2000,BTSX,ALLAges,47400000,18837.23,39.74,413890.5,873.19
640,Stomach cancer,KOR,2000,BTSX,ALLAges,47400000,13205.91,27.86,350532.1,739.52
680,"Trachea, bronchus, lung cancers",KOR,2000,BTSX,ALLAges,47400000,12879.4,27.17,310222.4,654.48
1530,Road injury,KOR,2000,BTSX,ALLAges,47400000,12141,25.61,621761.1,1311.73
660,Liver cancer,KOR,2000,BTSX,ALLAges,47400000,10893.75,22.98,330394.4,697.03
800,Diabetes mellitus,KOR,2000,BTSX,ALLAges,47400000,10414.95,21.97,386040,814.43
1230,Cirrhosis of the liver,KOR,2000,BTSX,ALLAges,47400000,9968.18,21.03,351127.6,740.78
1610,Self-harm,KOR,2000,BTSX,ALLAges,47400000,6860.75,14.47,310057.6,654.13
1180,Chronic obstructive pulmonary disease,KOR,2000,BTSX,ALLAges,47400000,6783.62,14.31,180063.2,379.88
950,Alzheimer disease and other dementias,KOR,2000,BTSX,ALLAges,47400000,6491.93,13.7,125203.8,264.14
390,Lower respiratory infections,KOR,2000,BTSX,ALLAges,47400000,6050.06,12.76,120515.8,254.25
1270,Kidney diseases,KOR,2000,BTSX,ALLAges,47400000,5114.59,10.79,141793,299.14
650,Colon and rectum cancers,KOR,2000,BTSX,ALLAges,47400000,4918.66,10.38,126231.8,266.31
1190,Asthma,KOR,2000,BTSX,ALLAges,47400000,4811.07,10.15,145433,306.82
30,Tuberculosis,KOR,2000,BTSX,ALLAges,47400000,4093.71,8.64,112525.2,237.39
752,Gallbladder and biliary tract cancer,KOR,2000,BTSX,ALLAges,47400000,3067.4,6.47,73018.36,154.05
670,Pancreas cancer,KOR,2000,BTSX,ALLAges,47400000,3023.18,6.38,75455.09,159.19
1550,Falls,KOR,2000,BTSX,ALLAges,47400000,2819.38,5.95,286961.4,605.4
1120,Hypertensive heart disease,KOR,2000,BTSX,ALLAges,47400000,2476.97,5.23,42566.52,89.8
490,Neonatal conditions,KOR,2000,BTSX,ALLAges,47400000,1727.79,3.65,221877.9,468.1
630,Oesophagus cancer,KOR,2000,BTSX,ALLAges,47400000,1678.09,3.54,42844.28,90.39
1570,Drowning,KOR,2000,BTSX,ALLAges,47400000,1648.58,3.48,88307.1,186.3
760,"Lymphomas, multiple myeloma",KOR,2000,BTSX,ALLAges,47400000,1577.52,3.33,50527.92,106.6
1150,"Cardiomyopathy, myocarditis, endocarditis",KOR,2000,BTSX,ALLAges,47400000,1516.33,3.2,48707.76,102.76
770,Leukaemia,KOR,2000,BTSX,ALLAges,47400000,1500.64,3.17,66127.71,139.51
1400,Congenital anomalies,KOR,2000,BTSX,ALLAges,47400000,1423.83,3,167171.3,352.68
710,Cervix uteri cancer,KOR,2000,BTSX,ALLAges,47400000,1398.47,2.95,41686.79,87.95
860,Alcohol use disorders,KOR,2000,BTSX,ALLAges,47400000,1312.12,2.77,232890.1,491.33
700,Breast cancer,KOR,2000,BTSX,ALLAges,47400000,1297.47,2.74,52088.06,109.89
620,Mouth and oropharynx cancers,KOR,2000,BTSX,ALLAges,47400000,1293.99,2.73,28739.58,60.63
751,Brain and nervous system cancers,KOR,2000,BTSX,ALLAges,47400000,1086.95,2.29,42191.54,89.01
750,Bladder cancer,KOR,2000,BTSX,ALLAges,47400000,934.58,1.97,19676.99,41.51
1220,Peptic ulcer disease,KOR,2000,BTSX,ALLAges,47400000,914.39,1.93,18664.41,39.38
1620,Interpersonal violence,KOR,2000,BTSX,ALLAges,47400000,863.32,1.82,61079.09,128.86
753,Larynx cancer,KOR,2000,BTSX,ALLAges,47400000,858.33,1.81,21566.56,45.5
1246,Gallbladder and biliary diseases,KOR,2000,BTSX,ALLAges,47400000,706.41,1.49,53098.71,112.02
740,Prostate cancer,KOR,2000,BTSX,ALLAges,47400000,677.67,1.43,13101.2,27.64
960,Parkinson disease,KOR,2000,BTSX,ALLAges,47400000,652.67,1.38,16431.63,34.67
745,Kidney cancer,KOR,2000,BTSX,ALLAges,47400000,637.86,1.35,18160.03,38.31
1560,"Fire, heat and hot substances",KOR,2000,BTSX,ALLAges,47400000,627.87,1.32,51692.2,109.06
730,Ovary cancer,KOR,2000,BTSX,ALLAges,47400000,618.56,1.3,18799.91,39.66
1330,Skin diseases,KOR,2000,BTSX,ALLAges,47400000,509.29,1.07,96964.21,204.57
970,Epilepsy,KOR,2000,BTSX,ALLAges,47400000,486.47,1.03,58781.02,124.01
1241,Gastritis and duodenitis,KOR,2000,BTSX,ALLAges,47400000,459.87,0.97,11083.66,23.38
1575,Exposure to mechanical forces,KOR,2000,BTSX,ALLAges,47400000,416.72,0.88,104681.5,220.85
190,Acute hepatitis B,KOR,2000,BTSX,ALLAges,47400000,412.55,0.87,15940.98,33.63
1248,Pancreatitis,KOR,2000,BTSX,ALLAges,47400000,407.17,0.86,14896.04,31.43
1242,Paralytic ileus and intestinal obstruction,KOR,2000,BTSX,ALLAges,47400000,398.37,0.84,10634.73,22.44
690,Melanoma and other skin cancers,KOR,2000,BTSX,ALLAges,47400000,372.35,0.79,8863,18.7
1540,Poisonings,KOR,2000,BTSX,ALLAges,47400000,375.35,0.79,18481.1,38.99
850,Schizophrenia,KOR,2000,BTSX,ALLAges,47400000,338.28,0.71,119744,252.62
110,Diarrhoeal diseases,KOR,2000,BTSX,ALLAges,47400000,333.98,0.7,26792.23,56.52
400,Upper respiratory infections,KOR,2000,BTSX,ALLAges,47400000,324.55,0.68,49917.75,105.31
754,Thyroid cancer,KOR,2000,BTSX,ALLAges,47400000,316.92,0.67,8383.12,17.69
550,Protein-energy malnutrition,KOR,2000,BTSX,ALLAges,47400000,308.37,0.65,12693.75,26.78
870,Drug use disorders,KOR,2000,BTSX,ALLAges,47400000,304.61,0.64,63508.43,133.98
1350,Rheumatoid arthritis,KOR,2000,BTSX,ALLAges,47400000,272.11,0.57,19373.76,40.87
1244,Inflammatory bowel disease,KOR,2000,BTSX,ALLAges,47400000,195.05,0.41,8917.45,18.81
1505,Sudden infant death syndrome,KOR,2000,BTSX,ALLAges,47400000,188.68,0.4,16897.9,35.65
1110,Rheumatic heart disease,KOR,2000,BTSX,ALLAges,47400000,186.31,0.39,5421.66,11.44
170,Meningitis,KOR,2000,BTSX,ALLAges,47400000,185.56,0.39,13427.71,28.33
580,Iron-deficiency anaemia,KOR,2000,BTSX,ALLAges,47400000,165.04,0.35,121959.7,257.3
1360,Osteoarthritis,KOR,2000,BTSX,ALLAges,47400000,137.25,0.29,170771.9,360.28
1380,Back and neck pain,KOR,2000,BTSX,ALLAges,47400000,133.61,0.28,341944.1,721.4
295,Echinococcosis,KOR,2000,BTSX,ALLAges,47400000,110.57,0.23,3288.45,6.94
720,Corpus uteri cancer,KOR,2000,BTSX,ALLAges,47400000,100.46,0.21,3163.51,6.67
420,Maternal conditions,KOR,2000,BTSX,ALLAges,47400000,93.86,0.2,6443.34,13.59
320,Rabies,KOR,2000,BTSX,ALLAges,47400000,82.66,0.17,2637.46,5.56
1280,Benign prostatic hyperplasia,KOR,2000,BTSX,ALLAges,47400000,79.56,0.17,4856.9,10.25
1580,Natural disasters,KOR,2000,BTSX,ALLAges,47400000,67.92,0.14,4096.62,8.64
130,Whooping cough,KOR,2000,BTSX,ALLAges,47400000,53.95,0.11,5619.24,11.85
285,Cysticercosis,KOR,2000,BTSX,ALLAges,47400000,48.58,0.1,17187.31,36.26
186,Acute hepatitis A,KOR,2000,BTSX,ALLAges,47400000,46.66,0.1,3275.83,6.91
100,HIV/AIDS,KOR,2000,BTSX,ALLAges,47400000,31.1,0.07,2305.68,4.86
920,Idiopathic intellectual disability,KOR,2000,BTSX,ALLAges,47400000,33.28,0.07,16690.66,35.21
1240,Appendicitis,KOR,2000,BTSX,ALLAges,47400000,28.68,0.06,3160.32,6.67
